Company,type,contact_person_name,contact_person_email,contact_person_phone,contact_person_role,billing_email,address_line1,address_line2,city,postcode,latitude,longitude,bed_capacity,cqc_rating,payment_terms,contract_start_date,contract_type,preferred_staffing_roles,max_concurrent_staff,notes
STAPLETON HOUSE CARE HOME,care_home,Kevin,g.basera5+clienttest15@gmail.com,1914300179,Care Home Manager,stapletonhouse@hotmail.com,32 Borough Road, Jarrow,"Sunderland, Tyne & Wear",NE32 5BL,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
PARKVILLE,care_home,Rachel Cullen,g.basera5+clienttest16@gmail.com,01642 223334,Care Home Manager,accounts@prestigegroup.uk.com,Walpole Street,Middlesbrough,Cleveland,TS1 4HA,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
COACH HOUSE NURSING HOME,care_home,John Broadbent,g.basera5+clienttest17@gmail.com,01765 600541,Care Home Manager,coachhouse-nh@btconnect.com,Dishforth Road,"Sharow, Ripon",North Yorkshire,HG4 5BQ,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
RYDAL CARE HOME,care_home,John Smith,g.basera5+clienttest18@gmail.com, 01325 369329,Care Home Manager,enquiries@minstercaregroup.co.uk,Rydal Road,Darlington,County Durham,DL1 4BH ,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
SHORELINE Nursing HOME,care_home,Bev Laing,g.basera5+clienttest19@gmail.com,01642 484592,Care Home Manager,admin@hornbyhealthcare.co.uk,2a Park Avenue,Redcar, Cleveland,TS10 3JZ,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
DINSDALE CARE HOME,care_home,Nora McKittrick,g.basera5+clienttest20@gmail.com, 01429 863440,Care Home Manager,finchworthltd@hotmail.com,42-44 Station Ln,Seaton Carew,Hartlepool,TS25 1BG,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
ABBEYFIELD,care_home,Heather Dixon,g.basera5+clienttest21@gmail.com,1665604876,Care Home Manager,admin@www.abbeyfieldnorthumbria.org.uk,Abbeyfield Alnwick,"South Road, Alnwick",Northumberland,NE66 2NZ,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
REDWORTH HOUSE CARE HOME,care_home,Marrissa Jewitt,g.basera5+clienttest22@gmail.com,1388777311,Care Home Manager,redworthhouse@bondcare.co.uk,"Byerley Road, ",Shildon,County Durham,DL4 1HQ,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
ACTION4CARE,Supported Living,Jarreth,g.basera5+clienttest23@gmail.com,7761988188,Care Home Manager,info@action4care,91-97 Saltergate,Chesterfield,Yorkshire,S40 1LA,54.6946,54.6946,,,,,,"Hca's, Support Workers Senior Carers & nurses",,
WILLOW VIEW,Supported Living,Pamela Sanhokwe,g.basera5+clienttest24@gmail.com,01274 050898,Care Home Manager,pam@action4care.org,938 Bradford Road,East Brierley,East Brierley,BD4 6PA,54.6946,54.6946,,,,,,"Hca's, Support Workers Senior Carers & nurses",,
Northfield House,Supported Living,Paul Hutchinson,g.basera5+clienttest25@gmail.com,01845 421475,Care Home Manager,Paul@action4care.org,Stockton Road,Knayton,North Yorkshire,YO7 4AN,54.6946,54.6946,,,,,,"Hca's, Support Workers Senior Carers & nurses",,
Low Lane House,Supported Living,Laura Tucker,g.basera5+clienttest26@gmail.com,01642 378657,Care Home Manager,Laura@action4care.org,"18 Low Lane, Acklam",Middlesbrough,Cleveland,TS5 8EA,54.6946,54.6946,,,,,,,,
